,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
24,R. Baker,New York,77,25,38,42,20,103,68,43,68,11,44,30
25,S. Vujačić,New York,32,12,15,16,16,43,52,32,34,4,13,12
26,D. Lillard,Portland,410,418,467,422,195,851,525,70,296,45,188,162
27,A. Aminu,Portland,93,83,119,102,60,224,184,55,346,65,88,54
28,C. McCollum,Portland,264,246,269,477,177,927,421,75,220,53,164,135
29,M. Plumlee,Portland,214,127,224,235,0,437,5,54,314,120,87,59
30,M. Harkless,Portland,83,73,116,223,65,398,187,71,201,118,83,84
31,A. Crabbe,Portland,86,103,120,161,123,329,280,75,195,19,60,61
32,E. Turner,Portland,183,74,88,179,28,380,106,58,186,33,88,61
33,E. Davis,Portland,26,50,81,75,0,142,0,45,147,96,37,21
34,N. Vonleh,Portland,24,47,80,99,7,208,20,66,224,100,58,31
35,M. Leonard,Portland,66,31,36,64,65,148,186,66,179,25,36,18
36,R. Gobert,Utah,88,291,448,374,0,565,1,75,671,296,140,63
37,R. Hood,Utah,89,80,102,151,110,338,286,55,175,14,62,77
38,J. Johnson,Utah,129,49,61,155,86,336,226,72,196,32,63,77
39,G. Hill,Utah,193,147,184,190,88,364,225,47,142,22,85,62
40,T. Lyles,Utah,70,54,75,94,64,231,202,67,182,46,62,47
41,S. Mack,Utah,133,43,62,114,32,223,105,48,95,16,82,40
42,J. Ingles,Utah,201,48,65,73,114,154,255,76,215,20,89,50
43,J. Withey,Utah,6,33,42,48,0,93,1,44,64,47,15,12
44,B. Diaw,Utah,150,22,31,111,19,223,77,67,97,42,81,35
45,D. Exum,Utah,97,56,69,103,38,195,130,60,90,28,71,44
46,K. Durant,Golden State,284,322,367,416,112,687,296,59,447,38,133,81
47,D. Green,Golden State,506,143,203,185,76,374,249,72,478,96,174,83
48,Z. Pachulia,Golden State,120,92,120,150,0,282,0,64,239,131,80,37
49,K. Thompson,Golden State,148,158,186,353,251,683,600,73,227,47,123,118
50,S. Curry,Golden State,483,285,310,330,293,612,732,74,277,59,225,152
51,I. Clark,Golden State,78,41,55,137,58,244,146,71,87,19,48,40
52,A. Iguodala,Golden State,248,68,96,142,61,222,168,72,243,50,53,39
53,D. West,Golden State,135,35,47,117,3,216,8,62,145,37,64,17
54,S. Livingston,Golden State,122,37,55,154,0,283,1,70,110,25,58,26
55,P. McCaw,Golden State,70,23,31,53,38,102,109,61,71,19,30,32
56,A. Varejão,Golden State,10,8,11,5,0,14,0,13,15,12,8,2
57,J. McGee,Golden State,16,48,96,181,0,281,4,71,128,86,36,34
58,L. Aldridge,San Antonio,138,215,263,445,22,936,51,67,336,169,94,90
59,T. Parker,San Antonio,261,71,98,214,22,450,65,57,94,10,78,66
60,P. Gasol,San Antonio,143,118,170,229,49,457,90,58,348,95,75,44
61,K. Leonard,San Antonio,238,431,490,459,131,861,361,68,323,77,142,142
62,P. Mills,San Antonio,261,59,73,121,140,251,332,74,108,23,92,77
63,D. Dedmon,San Antonio,40,62,85,147,0,228,0,69,334,107,56,20
64,J. Simmons,San Antonio,108,92,121,125,26,271,85,68,127,18,67,52
65,D. Lee,San Antonio,109,73,103,233,0,383,0,73,276,134,75,43
66,M. Ginóbili,San Antonio,178,84,105,81,84,205,218,65,121,29,87,57
67,K. Anderson,San Antonio,74,37,46,63,13,135,32,62,144,24,31,22
68,N. Laprovíttola,San Antonio,28,7,7,10,10,21,26,14,9,1,19,3
69,D. Bertāns,San Antonio,42,27,33,29,55,53,139,55,68,18,28,23
70,J. Teague,Indiana,588,328,378,292,82,615,227,76,286,31,205,92
71,M. Turner,Indiana,101,225,281,375,38,699,110,75,412,127,97,73
72,M. Ellis,Indiana,221,89,121,195,39,399,124,68,171,16,126,67
73,T. Young,Indiana,111,40,80,274,45,501,116,68,289,109,90,48
74,P. George,Indiana,224,290,322,378,170,778,437,69,391,54,204,119
75,A. Jefferson,Indiana,57,65,85,235,0,468,1,66,203,75,33,42
76,L. Allen,Indiana,54,21,31,71,0,158,1,56,108,99,28,28
77,R. Stuckey,Indiana,84,80,107,72,19,184,60,39,78,6,53,37
78,G. Robinson,Indiana,47,51,73,108,50,213,126,68,189,57,37,36
