Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
B. Bass,LA Clippers,20,66,76,100,1,174,3,46,79,39,29,15
B. Bass,LA Lakers,74,125,148,174,0,315,2,66,181,104,42,31
B. Bass,Orlando,71,205,252,406,0,790,2,110,328,172,108,88
B. Beal,Washington,2048,1611,1974,2722,1176,5554,3081,509,1607,418,1173,1094
B. Bentil,Dallas,0,0,0,0,0,2,1,2,2,0,1,1
B. Biyombo,Charlotte,144,372,668,607,0,1169,0,340,1277,658,281,124
B. Biyombo,Orlando,128,210,364,331,0,635,0,150,690,282,170,66
B. Biyombo,Toronto,26,134,209,141,0,258,1,74,439,169,67,24
B. Bogdanović,Brooklyn,239,311,365,492,288,970,802,197,521,105,268,201
B. Bogdanović,Indiana,263,371,448,575,304,1064,734,152,505,61,228,176
B. Bogdanović,Sacramento,703,283,353,584,408,1195,1088,199,553,91,329,263
B. Bogdanović,Utah,131,235,261,229,189,478,457,63,220,39,158,95
B. Bogdanović,Washington,16,56,61,52,35,95,91,20,50,12,30,30
B. Bol,Denver,6,15,18,13,6,25,12,10,16,8,12,5
B. Bowen,Indiana,0,0,0,3,0,8,2,6,6,1,1,3
B. Brown,Detroit,312,126,172,257,57,557,185,126,339,104,142,108
B. Brown,Houston,14,1,2,13,18,34,60,38,12,0,12,6
B. Brown,LA Clippers,35,0,0,13,7,36,25,15,7,7,15,8
B. Brown,New Orleans,46,6,6,43,17,86,66,22,17,1,24,14
B. Caboclo,Houston,2,6,6,9,2,13,9,10,13,6,6,1
B. Caboclo,Memphis,48,33,42,61,40,116,125,49,117,52,36,24
B. Caboclo,Sacramento,3,4,4,6,3,13,15,7,11,7,4,3
B. Caboclo,Toronto,4,0,0,1,3,12,8,15,6,4,6,6
B. Cardinal,Dallas,49,22,24,4,47,18,126,68,71,13,22,20
B. Cardinal,Minnesota,18,14,14,11,3,27,9,24,18,5,5,3
B. Clarke,Memphis,84,85,112,277,27,421,69,59,255,94,56,45
B. Colson,Milwaukee,3,4,4,4,2,10,11,4,13,6,1,5
B. Cook,Houston,1,5,7,5,2,14,9,12,8,1,6,3
B. Cook,LA Clippers,16,18,26,38,37,104,102,47,90,20,25,32
B. Cook,Washington,2,0,0,1,2,4,6,3,6,0,1,0
B. Cotton,Phoenix,3,0,0,2,0,5,3,2,0,0,5,2
B. Cotton,Utah,3,2,2,2,2,11,5,5,3,1,3,2
B. Davies,Brooklyn,2,3,4,5,1,14,4,7,7,3,4,3
B. Davies,Philadelphia,51,47,74,79,8,181,36,62,96,66,55,28
B. Davis,Cleveland,42,12,13,19,21,45,45,8,19,4,22,11
B. Davis,LA Clippers,863,297,363,474,125,1043,432,114,292,79,311,184
B. Davis,New York,96,13,15,27,13,65,51,19,30,13,50,21
B. Dawson,LA Clippers,0,0,0,1,0,3,0,2,1,2,0,0
B. Dejean-Jones,New Orleans,15,11,21,16,12,37,32,13,40,8,11,4
B. Diaw,Charlotte,733,189,265,636,154,1190,485,185,685,261,396,170
B. Diaw,San Antonio,746,234,317,764,146,1368,402,294,828,253,397,196
B. Diaw,Utah,150,22,31,111,19,223,77,67,97,42,81,35
B. Fernando,Atlanta,49,29,51,98,5,162,37,55,131,67,42,25
B. Forbes,San Antonio,350,184,233,392,400,835,1011,232,427,42,175,198
B. Goodwin,Atlanta,51,28,30,50,26,103,87,34,61,11,29,21
B. Goodwin,Denver,14,9,11,4,2,17,6,12,2,1,3,4
B. Gordon,Charlotte,153,99,118,213,111,518,291,85,129,21,136,99
B. Gordon,Detroit,388,323,378,535,203,1183,548,167,307,68,322,213
B. Gordon,Orlando,50,54,64,94,35,198,97,55,57,6,55,31
B. Griffin,Detroit,608,552,727,619,251,1225,741,115,659,143,353,273
B. Griffin,LA Clippers,1892,2175,3189,3621,134,6937,418,452,3156,1076,1135,894
B. Hansbrough,Indiana,18,16,22,6,6,17,20,22,15,1,18,4
B. Haywood,Charlotte,29,30,66,93,0,215,1,60,165,125,50,39
B. Haywood,Cleveland,2,6,10,12,0,27,0,17,22,6,10,2
B. Haywood,Dallas,52,131,299,285,0,508,2,129,481,283,110,70
B. Haywood,Washington,18,102,158,188,0,335,0,49,307,200,67,48
B. Hield,New Orleans,76,24,28,96,89,230,241,57,145,20,48,63
B. Hield,Sacramento,575,326,375,834,738,1736,1784,243,866,218,463,346
B. Ingram,LA Lakers,530,504,760,835,125,1714,378,183,728,148,384,282
B. Ingram,New Orleans,259,303,356,357,150,712,384,62,329,51,188,133
B. James,Dallas,13,43,66,71,0,137,3,68,119,79,30,16
B. Jennings,Detroit,905,351,449,417,241,1015,697,136,288,82,302,307
B. Jennings,Milwaukee,1513,662,817,1077,484,2640,1360,263,709,177,624,476
B. Jennings,New York,286,102,135,95,68,228,200,58,130,21,107,73
B. Jennings,Orlando,88,30,40,31,24,78,71,22,36,11,30,18
B. Jennings,Washington,83,9,13,12,8,32,37,17,22,5,16,5
B. Johnson,Atlanta,0,2,2,5,3,10,6,5,6,2,2,1
B. Johnson,LA Clippers,2,2,2,8,0,14,1,9,13,3,5,1
B. Johnson,Memphis,1,1,3,13,0,31,0,7,11,7,1,4
B. Johnson,Orlando,3,9,10,6,4,24,10,10,14,3,6,4
B. Knight,Cleveland,84,15,27,52,48,111,141,38,47,9,34,23
B. Knight,Detroit,505,233,310,384,215,896,582,128,339,73,340,187
B. Knight,Houston,9,9,11,6,5,15,32,11,8,1,5,6
B. Knight,Milwaukee,602,383,456,530,202,1169,552,117,379,68,333,258
B. Knight,Phoenix,440,298,350,445,186,1006,556,117,284,62,288,209
B. Lopez,Brooklyn,427,1125,1422,2028,128,3876,382,287,1246,706,583,411
B. Lopez,LA Lakers,118,97,143,240,103,434,297,67,197,69,91,70
B. Lopez,Milwaukee,196,245,296,387,307,661,870,155,633,106,161,147
B. Lopez,New Jersey,289,723,912,1130,0,2278,2,154,687,434,349,271
B. Marjanović,Dallas,25,50,66,134,4,223,18,46,160,72,33,26
B. Marjanović,Detroit,21,72,90,87,0,167,0,46,100,46,29,16
B. Marjanović,LA Clippers,27,91,117,109,0,183,2,46,131,73,45,18
B. Marjanović,Philadelphia,18,21,29,49,2,77,4,16,55,23,17,8
B. Marjanović,San Antonio,18,75,100,89,0,151,0,44,103,65,26,9
B. McLemore,Houston,64,49,66,62,195,97,488,81,145,23,53,71
B. McLemore,Memphis,44,40,48,83,47,178,133,50,87,28,54,50
B. McLemore,Sacramento,302,318,400,537,333,1176,947,279,535,123,347,282
B. Miller,Chicago,133,147,178,187,34,402,112,74,281,73,95,57
B. Miller,Houston,130,70,84,82,34,170,95,56,155,41,46,37
B. Miller,Minnesota,7,7,8,0,1,5,3,9,4,1,6,2
B. Moore,Indiana,1,0,0,0,0,0,0,2,1,0,0,0
B. Mullens,Charlotte,114,135,180,329,71,754,227,100,424,133,114,115
B. Mullens,LA Clippers,6,2,6,13,13,25,39,26,25,7,13,9
B. Mullens,Oklahoma City,1,5,10,12,0,38,0,20,21,8,10,5
B. Mullens,Philadelphia,8,8,12,21,18,42,41,16,36,13,13,7
B. Paul,San Antonio,37,21,41,36,14,68,52,50,61,6,30,11
B. Portis,Chicago,219,233,313,645,137,1312,400,200,784,359,201,171
B. Portis,New York,98,71,93,198,67,402,187,66,258,80,72,58
B. Portis,Washington,36,32,41,92,42,201,101,24,157,48,40,20
B. Roberts,Charlotte,231,114,128,164,74,372,224,129,136,19,85,71
B. Roberts,New Orleans,400,162,173,300,110,672,293,135,170,28,145,105
B. Roberts,Portland,14,7,9,11,4,28,11,15,8,2,3,4
B. Roy,Minnesota,23,7,10,11,0,26,9,5,11,3,7,3
B. Roy,Portland,393,427,534,555,106,1145,316,101,281,88,172,163
B. Rush,Golden State,134,77,103,148,133,303,334,139,347,47,94,75
B. Rush,Indiana,160,128,181,273,201,637,491,136,453,69,144,126
B. Rush,Minnesota,37,9,12,20,36,62,93,38,68,13,21,25
B. Rush,Utah,24,3,5,14,16,43,47,38,39,5,20,12
B. Sampson,Chicago,5,3,4,11,5,16,17,8,9,1,9,2
B. Scalabrine,Boston,27,4,6,12,15,33,47,37,38,9,15,12
B. Scalabrine,Chicago,20,2,4,22,1,35,12,35,19,8,14,6
B. Simmons,LA Clippers,11,2,3,6,16,22,45,18,31,13,6,10
B. Simmons,New Jersey,15,17,19,22,20,54,63,23,52,11,19,19
B. Simmons,Philadelphia,1631,605,1014,1381,2,2445,23,205,1294,408,714,302
B. Simmons,San Antonio,2,0,0,0,0,0,3,2,0,0,0,0
B. Skinner,LA Clippers,0,6,8,10,0,24,0,12,18,9,6,3
B. Skinner,Memphis,0,0,0,0,0,1,0,1,0,0,0,0
B. Udrih,Detroit,114,26,28,72,10,145,31,33,46,5,33,16
B. Udrih,Memphis,239,82,95,213,30,400,104,87,119,19,94,47
B. Udrih,Miami,89,15,17,55,11,118,33,35,57,6,42,16
B. Udrih,Milwaukee,322,55,76,208,23,411,92,85,115,35,112,52
B. Udrih,New York,110,20,24,51,17,120,40,31,47,10,42,22
B. Udrih,Orlando,99,39,46,48,9,111,32,19,25,13,30,19
B. Udrih,Sacramento,684,235,276,619,134,1169,354,144,367,70,261,170
B. Uzoh,Cleveland,2,0,0,2,0,5,0,2,2,2,0,2
B. Uzoh,New Jersey,56,31,46,43,2,101,6,34,26,28,21,22
B. Uzoh,Toronto,3,1,2,2,0,5,1,2,1,0,1,0
